Отметка времени,Короткий id в вк,Числовой id в вк
08.10.2023 10:43:22,alex_bayir,308412461
08.10.2023 10:52:33,v.oldovsky,232210943
08.10.2023 12:26:49,catblan13,209834587
08.10.2023 12:31:43,kobe65,45745684
08.10.2023 15:52:49,newwhitespite,513083713
08.10.2023 16:45:56,unepum,606396724
08.10.2023 21:12:46,majoroleg,188959578
13.10.2023 16:27:27,festagain,275549140
